name,birth,age,sport,event,team,medal,gender,full_name,height_cm,weight_kg,born_location,born_lat_lon,death,rank
Roc Oliva,1989-07-18,23,Hockey,Men's Hockey,Spain,,Male,Roc Oliva Isern,180,78,"Barcelona, Barcelona, Spain","41.3850639,2.1734035",,6
Fernanda Oliveira,1980-12-19,31,Sailing,Women's Two Person Dinghy,Brazil,,Female,Fernanda Ryff Moreira Oliveira,161,51,"Porto Alegre, Rio Grande do Sul, Brazil","-30.0346471,-51.2176584",,6
N√É¬©lson Oliveira,1989-03-06,23,Cycling,"Men's Road Race, Individual",Portugal,,Male,N√É¬©lson Filipe dos Santos Sim√É¬µes Olivei,180,66,,,,69
N√É¬©lson Oliveira,1989-03-06,23,Cycling,Men's Individual Time Trial,Portugal,,Male,N√É¬©lson Filipe dos Santos Sim√É¬µes Olivei,180,66,,,,18
Nicolas Oliveira,1987-08-04,24,Swimming,Men's 100 metres Freestyle,Brazil,,Male,Nicolas Nilo C√É¬©sar de Oliveira,197,94,"Belo Horizonte, Minas Gerais, Brazil","-19.9245192,-43.9352685",,24
Nicolas Oliveira,1987-08-04,24,Swimming,Men's 4 x 100 metres Freestyle Relay,Brazil,,Male,Nicolas Nilo C√É¬©sar de Oliveira,197,94,"Belo Horizonte, Minas Gerais, Brazil","-19.9245192,-43.9352685",,9
Pamela Oliveira,1987-10-06,24,Triathlon,Women's Olympic Distance,Brazil,,Female,Pamela Oliveira,165,59,"Vila Velha, Esp√É¬≠rito Santo, Brazil","-20.3477821,-40.2949528",,30
Pedro Oliveira,1988-01-01,24,Swimming,Men's 200 metres Backstroke,Portugal,,Male,Pedro Diogo Tavares Martins de Oliveira,185,81,"Santar√É¬©m, Lez√É¬≠ria do Tejo, Portugal",,,20
Pedro Oliveira,1988-01-01,24,Swimming,Men's 200 metres Butterfly,Portugal,,Male,Pedro Diogo Tavares Martins de Oliveira,185,81,"Santar√É¬©m, Lez√É¬≠ria do Tejo, Portugal",,,22
Ronilson Oliveira,1990-07-16,22,Canoeing,"Men's Canadian Singles, 200 metres",Brazil,,Male,Ronilson Matias de Oliveira,180,77,"Santos, S√É¬£o Paulo, Brazil","-23.9540376,-46.3354875",,12
Ronilson Oliveira,1990-07-16,22,Canoeing,"Men's Canadian Doubles, 1,000 metres",Brazil,,Male,Ronilson Matias de Oliveira,180,77,"Santos, S√É¬£o Paulo, Brazil","-23.9540376,-46.3354875",,10
Sara Oliveira,1985-12-07,26,Swimming,Women's 100 metres Butterfly,Portugal,,Female,Sara de Jesus Freitas de Oliveira,166,55,"Porto, Grande Porto, Portugal","41.1629981,-8.5719813",,36
Sara Oliveira,1985-12-07,26,Swimming,Women's 200 metres Butterfly,Portugal,,Female,Sara de Jesus Freitas de Oliveira,166,55,"Porto, Grande Porto, Portugal","41.1629981,-8.5719813",,24
Amy Oliver,1987-07-10,25,Archery,Women's Individual,Great Britain,,Female,Amy Lee Oliver,173,62,"Rotherham, South Yorkshire, Great Britai","53.4326035,-1.3635009",,17T
Amy Oliver,1987-07-10,25,Archery,Women's Team,Great Britain,,Female,Amy Lee Oliver,173,62,"Rotherham, South Yorkshire, Great Britai","53.4326035,-1.3635009",,9T
Jack Oliver,1991-01-04,21,Weightlifting,Men's Middleweight,Great Britain,,Male,Jack Simon Oliver,168,77,"Sidcup, Greater London, Great Britain","51.4264863,0.1009392",,10
√É‚Ä∞rika Olivera,1976-01-04,36,Athletics,Women's Marathon,Chile,,Female,√É‚Ä∞rika Alejandra Olivera de la Fuente,165,53,"Quinta Normal, Santiago Metropolitan, Ch","-33.4394076,-70.7028326",,63
Princesa Oliveros,1975-08-10,36,Athletics,Women's 400 metres Hurdles,Colombia,,Female,Mar√É¬≠a Princesa Oliveros Boh√É¬≥rquez,168,56,"Apartado, Antioquia, Colombia","7.883609,-76.632111",,8 h3 r1/3
Andr√É¬© Olivier,1989-12-29,22,Athletics,Men's 800 metres,South Africa,,Male,Andr√É¬© Olivier,192,76,"Pietermaritzburg, KwaZulu-Natal, South A","-29.6006068,30.3794118",,5 h3 r2/3
Beleynesh Oljira,1990-06-26,22,Athletics,"Women's 10,000 metres",Ethiopia,,Female,Beleynesh Oljira,165,49,"Welek\'a, Amhara, Ethiopia",,,5
Josefin Olsson,1989-08-23,22,Sailing,Women's One Person Dinghy,Sweden,,Female,Josefin Anna Louise Olsson,172,68,"Nyk√É¬∂ping, S√É¬∂dermanland, Sweden","58.7528439,17.0091593",,18
Kieran O\'Malley,1988-05-12,24,Volleyball,Men's Volleyball,Great Britain,,Male,Kieran Peter O\'Malley,188,78,"Halifax, West Yorkshire, Great Britain","53.72702,-1.85754",,11T
Om Yun-Chol,1991-11-18,20,Weightlifting,Men's Bantamweight,North Korea,Gold,Male,Om Yun-Chol,152,56,"?, Hamgyeongbuk, Hamgyeongbuk, North Kor","41.8,129.783333",,1
Magomed Omarov,1989-10-16,22,Boxing,Men's Super-Heavyweight,Russia,,Male,Magomed Shakhbanovich Omarov,195,,"Kaspiysk, Respublika Dagestan, Russia","42.1431886,47.0949799",,5T
Oleh Omelchuk,1983-06-07,29,Shooting,"Men's Air Pistol, 10 metres",Ukraine,,Male,Oleh Petrovych Omelchuk,170,75,"Velyki Selyshcha, Rivne, Ukraine","50.824444,26.975833",,5
Oleh Omelchuk,1983-06-07,29,Shooting,"Men's Free Pistol, 50 metres",Ukraine,,Male,Oleh Petrovych Omelchuk,170,75,"Velyki Selyshcha, Rivne, Ukraine","50.824444,26.975833",,29
Yelena Omelyusik,1989-02-06,23,Cycling,"Women's Road Race, Individual",Belarus,,Female,Yelena Vasilyevna Omelyusik,169,53,"Babruysk, Mahilyow, Belarus","53.9,30.333333",,15
Thierry Omeyer,1976-11-02,35,Handball,Men's Handball,France,Gold,Male,Thierry Omeyer,192,93,"Mulhouse, Haut-Rhin, France","47.750839,7.335888",,1
Ranokhon Omonova,1994-03-08,18,Swimming,Women's 200 metres Individual Medley,Uzbekistan,,Female,Ranokhon Omonova,174,61,"Andijon, Andijon, Uzbekistan","40.8153561,72.28375",,25
Omolara Omotosho,1993-05-25,19,Athletics,Women's 400 metres,Nigeria,,Female,Omolara Omotosho,152,50,"Akure, Ondo, Nigeria","7.25,5.195",,4 h3 r2/3
Omolara Omotosho,1993-05-25,19,Athletics,Women's 4 x 400 metres Relay,Nigeria,,Female,Omolara Omotosho,152,50,"Akure, Ondo, Nigeria","7.25,5.195",,AC r2/2
Darren O\'Neill,1985-09-13,26,Boxing,Men's Middleweight,Ireland,,Male,Darren O\'Neill,184,,"Kilkenny, Kilkenny, Ireland","52.6541454,-7.2447879",,9T
Sean O\'Neill,1980-08-15,31,Rowing,Men's Coxless Fours,New Zealand,,Male,Sean O\'Neill,190,90,"Limerick, Limerick, Ireland","52.6680204,-8.6304975",,11
Mylene Ong,1991-07-23,21,Swimming,Women's 100 metres Freestyle,Singapore,,Female,"Chui Bin ""Mylene"" Ong",169,55,"Singapore, Singapore, Singapore","1.2800945,103.8509491",,29T
Gabrielle Ongu√É¬©n√É¬©,1989-02-25,23,Football,Women's Football,Cameroon,,Female,Gabrielle Aboudi Ongu√É¬©n√É¬©,152,58,"Douala, Littoral, Cameroon","4.05,9.7",,12
Oleksandr Onishchenko,1969-03-31,43,Equestrianism,"Mixed Jumping, Individual",Ukraine,,Male,Oleksandr Romanovych Onishchenko,175,76,"Matveyev Kurgan, Rostov, Russia","47.572222,38.866667",,69
Oleksandr Onishchenko,1969-03-31,43,Equestrianism,"Mixed Jumping, Team",Ukraine,,Male,Oleksandr Romanovych Onishchenko,175,76,"Matveyev Kurgan, Rostov, Russia","47.572222,38.866667",,14
Anyika Onuora,1984-10-28,27,Athletics,Women's 100 metres,Great Britain,,Female,"Nwanyika Jenete C. ""Anyika"" Onuora",178,72,"Liverpool, Merseyside, Great Britain","53.4083714,-2.9915726",,5 h2 r2/4
Anyika Onuora,1984-10-28,27,Athletics,Women's 200 metres,Great Britain,,Female,"Nwanyika Jenete C. ""Anyika"" Onuora",178,72,"Liverpool, Merseyside, Great Britain","53.4083714,-2.9915726",,4 h2 r1/3
Ele Opeloge,1985-07-11,27,Weightlifting,Women's Super-Heavyweight,Samoa,,Female,Ele Opeloge,168,124,"Apia, Tuamasaga, Samoa","-13.833333,-171.75",,6
Jai Tapu Opetaia,1995-06-30,17,Boxing,Men's Heavyweight,Australia,,Male,Jai Tapu Opetaia,188,,"Westmead, Sydney, New South Wales, Austr","-33.8076889,150.9872768",,9T
Britta Oppelt,1978-07-05,34,Rowing,Women's Quadruple Sculls,Germany,Silver,Female,Britta Oppelt,172,69,"Ost Berlin, Berlin, Germany","52.4112096,13.5898551",,2
Carlos Oquendo,1987-11-16,24,Cycling,Men's BMX,Colombia,Bronze,Male,Carlos Mario Oquendo Zabala,175,81,"Medell√É¬≠n, Antioquia, Colombia","6.235925,-75.575137",,3
Joe O\'Regan,1991-06-22,21,Water Polo,Men's Water Polo,Great Britain,,Male,"Joseph ""Joe"" O\'Regan",203,105,"Oldham, Greater Manchester, Great Britai","53.5445459,-2.118732",,12
Heather O\'Reilly,1985-01-02,27,Football,Women's Football,United States,Gold,Female,Heather Ann O\'Reilly,165,60,"New Brunswick, New Jersey, United States","40.4862157,-74.4518188",,1
Karin O\'Reilly,1992-08-21,19,Swimming,Women's 50 metres Freestyle,Antigua and Barbuda,,Female,Karin Alejandra O\'Reilly Clashing,173,77,"San Jos√É¬©, San Jos√É¬©, Costa Rica","9.9280694,-84.0907246",,56
Derval O\'Rourke,1981-05-28,31,Athletics,Women's 100 metres Hurdles,Ireland,,Female,Derval O\'Rourke,168,57,"Cork, Cork, Ireland","51.8968917,-8.4863157",,5 h2 r2/3
√É‚Ä∞va Orb√É¬°n,1984-11-29,27,Athletics,Women's Hammer Throw,Hungary,,Female,√É‚Ä∞va Orb√É¬°n,173,75,"P√É¬°pa, Veszpr√É¬©m, Hungary","47.3260464,17.4697834",,16
Simon Orchard,1986-07-09,26,Hockey,Men's Hockey,Australia,Bronze,Male,Simon Orchard,186,78,"Muswellbrook, New South Wales, Australia","-32.2651665,150.888323",,3
Orgodolyn Uytumen,1989-04-29,23,Wrestling,"Men's Light-Heavyweight, Freestyle",Mongolia,,Male,Orgodolyn Uytumen,175,82,,,,14
Tobias Oriwol,1985-05-13,27,Swimming,Men's 4 x 200 metres Freestyle Relay,Canada,,Male,Tobias Oriwol,195,85,"Westmount, Qu√É¬©bec, Canada","45.483333,-73.6",,14
Tobias Oriwol,1985-05-13,27,Swimming,Men's 200 metres Backstroke,Canada,,Male,Tobias Oriwol,195,85,"Westmount, Qu√É¬©bec, Canada","45.483333,-73.6",,14
Arabelly Orjuela,1988-07-24,24,Athletics,Women's 20 kilometres Walk,Colombia,,Female,Arabelly Orjuela S√É¬°nchez,150,43,"Libano, Tolima, Colombia","4.92033,-75.07135",,43
Yevhen Orlov,1989-01-30,23,Wrestling,"Men's Super-Heavyweight, Greco-Roman",Ukraine,,Male,Yevhen V\'iacheslavovych Orlov,185,120,"Kryvyi Rih, Dnipropetrovsk, Ukraine","47.910483,33.391783",,18T
Yelena Orlova,1980-05-30,32,Athletics,"Women's 3,000 metres Steeplechase",Russia,,Female,Yelena Nikolayevna Orlova (Sidorchenkova,168,55,"Moscow, Moskva, Russia","55.755826,37.6173",,6 h2 r1/2
Alejandra Orozco,1997-04-19,15,Diving,Women's Synchronized Platform,Mexico,Silver,Female,Alejandra Orozco Loza,156,47,"Zapopan, Jalisco, Mexico","20.6719563,-103.416501",,2
John Orozco,1992-12-30,19,Gymnastics,Men's Individual All-Around,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,8
John Orozco,1992-12-30,19,Gymnastics,Men's Team All-Around,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,5
John Orozco,1992-12-30,19,Gymnastics,Men's Floor Exercise,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,16 r1/2
John Orozco,1992-12-30,19,Gymnastics,Men's Parallel Bars,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,41 r1/2
John Orozco,1992-12-30,19,Gymnastics,Men's Horizontal Bar,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,10 r1/2
John Orozco,1992-12-30,19,Gymnastics,Men's Rings,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,14 r1/2
John Orozco,1992-12-30,19,Gymnastics,Men's Pommelled Horse,United States,,Male,John Orozco,165,73,"Bronx, New York, United States","40.8447819,-73.8648268",,12 r1/2
Ji√Ö‚Ñ¢√É¬≠ Ors√É¬°g,1989-01-05,23,Weightlifting,Men's Super-Heavyweight,Czech Republic,,Male,Ji√Ö‚Ñ¢√É¬≠ Ors√É¬°g,181,128,"Znojmo, Jihomoravsk√É¬Ω kraj , Czech Repub","48.8530942,16.0534306",,7
Marco Orsi,1990-12-11,21,Swimming,Men's 50 metres Freestyle,Italy,,Male,Marco Orsi,186,83,"Budrio, Bologna, Italy","44.5388539,11.5360478",,19
Marco Orsi,1990-12-11,21,Swimming,Men's 4 x 100 metres Freestyle Relay,Italy,,Male,Marco Orsi,186,83,"Budrio, Bologna, Italy","44.5388539,11.5360478",,7
Orlando Ortega,1991-07-29,20,Athletics,Men's 110 metres Hurdles,Cuba,,Male,Orlando Ortega Alejo,,,"10 de October, Ciudad de La Habana, Cuba","23.1094238,-82.3658518",,6
V√É¬≠ctor Ortega,1988-01-27,24,Diving,Men's Platform,Colombia,,Male,V√É¬≠ctor Hugo Ortega Serna,173,67,"Medell√É¬≠n, Antioquia, Colombia","6.235925,-75.575137",,17
Idalys Ort√É¬≠z,1989-09-27,22,Judo,Women's Heavyweight,Cuba,Gold,Female,Idalys Ort√É¬≠z Bocourt,173,102,"Pinar del R√É¬≠o, Pinar del R√É¬≠o, Cuba","22.412222,-83.671944",,1
Jantony Ort√É¬≠z,1994-07-21,18,Boxing,Men's Light-Flyweight,Puerto Rico,,Male,Jantony Ort√É¬≠z Marcano,,,"Adjuntas, Puerto Rico, Puerto Rico","18.1627363,-66.7221187",,9T
Mati Ort√É¬≠z,1990-09-16,21,Water Polo,Women's Water Polo,Spain,Silver,Female,"Matilde ""Mati"" Ort√É¬≠z Reyes",174,67,"Veracruz, Veracruz, Mexico","19.173773,-96.1342241",,2
Melissa Ort√É¬≠z,1990-01-24,22,Football,Women's Football,Colombia,,Female,Melissa Marie Ort√É¬≠z Matallana,170,55,"West Palm Beach, Florida, United States","26.7153424,-80.0533746",,11
Mirna Ort√É¬≠z,1987-02-28,25,Athletics,Women's 20 kilometres Walk,Guatemala,,Female,Mirna Sucely Ort√É¬≠z Flores,158,44,"Guatemala City, Guatemala, Guatemala","14.613333,-90.535278",,AC
Richard Oruche,1987-08-30,24,Basketball,Men's Basketball,Nigeria,,Male,Richard Oruche,193,,"Algonquin, Illinois, United States","42.1655801,-88.2942493",,10
R√É¬ºst√â‚Ñ¢m Orucov,1991-10-04,20,Judo,Men's Lightweight,Azerbaijan,,Male,R√É¬ºst√â‚Ñ¢m Orucov,179,73,"Irkutsk, Irkutsk, Russia","52.312222,104.295833",,8T
Daniel Orzechowski,1985-06-01,27,Swimming,Men's 100 metres Backstroke,Brazil,,Male,Daniel Orzechowski,190,87,"Joinville, Santa Catarina, Brazil","-26.3044084,-48.8463832",,28
Glenn O\'Shea,1989-06-14,23,Cycling,"Men's Team Pursuit, 4,000 metres",Australia,Silver,Male,Glenn O\'Shea,180,76,"Swan Hill, Victoria, Australia","-35.3405225,143.5614347",,2
Glenn O\'Shea,1989-06-14,23,Cycling,Men's Omnium,Australia,,Male,Glenn O\'Shea,180,76,"Swan Hill, Victoria, Australia","-35.3405225,143.5614347",,5
Andrew Osagie,1988-02-19,24,Athletics,Men's 800 metres,Great Britain,,Male,Andrew Ifeanyichukwu Osagie,189,72,"Harlow, Essex, Great Britain","51.767787,0.087806",,8
Damola Osayomi,1986-06-26,26,Athletics,Women's 100 metres,Nigeria,,Female,"Oludamola Bolanle ""Damola"" Osayomi",163,63,"Ilesha, Osun, Nigeria","7.616667,4.733333",,4 h7 r2/4
Damola Osayomi,1986-06-26,26,Athletics,Women's 4 x 100 metres Relay,Nigeria,,Female,"Oludamola Bolanle ""Damola"" Osayomi",163,63,"Ilesha, Osun, Nigeria","7.616667,4.733333",,4
Uhunoma Osazuwa,1987-11-23,24,Athletics,Women's Heptathlon,Nigeria,,Female,Uhunoma Naomi-Pauline Osazuwa,178,65,"California, Pennsylvania, United States","40.0656291,-79.8917139",,AC
Alex Osborne,1987-05-04,25,Rowing,Men's Quadruple Sculls,United States,,Male,"Alexander Rahnasto ""Alex"" Osborne",191,95,"Los Angeles, California, United States","34.0522342,-118.2436849",,13
 Oscar,1991-09-09,20,Football,Men's Football,Brazil,Silver,Male,Oscar dos Santos Emboaba J√É¬∫nior,179,68,"Americana, S√É¬£o Paulo, Brazil","-22.7378463,-47.3335688",,2
Markus Oscarsson,1977-05-09,35,Canoeing,"Men's Kayak Doubles, 1,000 metres",Sweden,,Male,Markus Tobias Oscarsson,184,86,"V√É¬§ster√É¬•s, V√É¬§stmanland, Sweden","59.6099005,16.5448091",,5
Bartosz Osewski,1991-03-20,21,Athletics,Men's Javelin Throw,Poland,,Male,Bartosz Osewski,194,104,"Gda√Ö‚Äûsk, Pomorskie, Poland","54.3520252,18.6466384",,42 r1/2
Funke Oshonaike,1975-10-28,36,Table Tennis,Women's Singles,Nigeria,,Female,"Olufunke ""Funke"" Oshonaike (-Irabor)",178,63,"Lagos, Lagos, Nigeria","6.5243793,3.3792057",,49T
Irina Osipova,1981-06-25,31,Basketball,Women's Basketball,Russia,,Female,Irina Viktorovna Osipova (-Minayeva),187,72,"Moscow, Moskva, Russia","55.755826,37.6173",,4
Elisabeth Osl,1985-11-21,26,Cycling,"Women's Mountainbike, Cross-Country",Austria,,Female,Elisabeth Osl,165,46,"Kitzb√É¬ºhel, Tirol, Austria","47.44499,12.39143",,15
Abdourahman Osman,1993-12-07,18,Swimming,Men's 50 metres Freestyle,Djibouti,,Male,Abdourahman Osman,,,"Tadjourah, Tadjourah, Djibouti","11.7913106,42.8796227",,49
Farida Osman,1995-01-18,17,Swimming,Women's 50 metres Freestyle,Egypt,,Female,Farida Hisham Osman,171,60,"Indianapolis, Indiana, United States","39.768403,-86.158068",,42
Bekzat Osmonaliyev,1985-12-28,26,Weightlifting,Men's Bantamweight,Kyrgyzstan,,Male,Bekzat Osmonaliyev,155,50,"Toktogul, Jalal-Abad, Kyrgyzstan","41.8760133,72.9401509",,AC
Erick Osornio,1983-03-05,29,Taekwondo,Men's Featherweight,Mexico,,Male,Erick Osornio Nu√É¬±ez,179,68,"Puebla, Puebla, Mexico","19.0412967,-98.2061996",,11T
Nadezhda Ostapchuk,1980-10-28,31,Athletics,Women's Shot Put,Belarus,,Female,Nadezhda Nikolayevna Ostapchuk,180,95,"Vyalikiya Arly, Brest, Belarus","52.133333,23.666667",,AC
Yuliya Ostapchuk,1989-09-26,22,Wrestling,"Women's Middleweight, Freestyle",Ukraine,,Female,Yuliya Anatoli√É¬Øvna Ostapchuk,168,63,"Kovel, Volyn, Ukraine","51.216667,24.716667",,7
Sebastian √É‚Äìstling,1984-06-02,28,Sailing,Men's Two Person Dinghy,Sweden,,Male,John Sebastian √É‚Äìstling,180,71,"Onsala, Kungsbacka, Halland, Sweden","57.414722,12.0225",,10
Inna Osypenko-Radomska,1982-09-20,29,Canoeing,"Women's Kayak Singles, 200 metres",Ukraine,Silver,Female,Inna Volodymyrivna Osypenko-Radomska,164,60,"Novorosiysko, Kherson, Ukraine","46.635417,32.616867",,2
Inna Osypenko-Radomska,1982-09-20,29,Canoeing,"Women's Kayak Singles, 500 metres",Ukraine,Silver,Female,Inna Volodymyrivna Osypenko-Radomska,164,60,"Novorosiysko, Kherson, Ukraine","46.635417,32.616867",,2
Kazuomi Ota,1986-07-01,26,Weightlifting,Men's Super-Heavyweight,Japan,,Male,Kazuomi Ota,183,145,"Kitakyushu, Fukuoka, Japan","33.8834093,130.8752161",,13
Yuki Ota,1985-11-25,26,Fencing,"Men's Foil, Individual",Japan,,Male,Yuki Ota,171,69,"Otsu, Shiga, Japan","35.0178929,135.8546074",,14
Yuki Ota,1985-11-25,26,Fencing,"Men's Foil, Team",Japan,Silver,Male,Yuki Ota,171,69,"Otsu, Shiga, Japan","35.0178929,135.8546074",,2
Dzhamal Otarsultanov,1987-04-14,25,Wrestling,"Men's Featherweight, Freestyle",Russia,Gold,Male,Dzhamal Sultanovich Otarsultanov,163,55,"Solnechnoye, Respublika Dagestan, Russia","42.1431886,47.0949799",,1
Oteng Oteng,1990-01-09,22,Boxing,Men's Flyweight,Botswana,,Male,Oteng Oteng,,,"Mookane, Central, Botswana","-23.6926,26.656281",,17T
Muhamad Adiq Husainie Othman,1991-04-29,21,Cycling,"Men's Road Race, Individual",Malaysia,,Male,Muhamad Adiq Husainie Othman,172,65,"Kuala Dungun, Terengganu, Malaysia","4.8244444,103.4158333",,AC
Ai Otomo-Yamamoto,1982-03-24,30,Volleyball,Women's Volleyball,Japan,Bronze,Female,Ai Otomo-Yamamoto,184,68,"Sendai, Miyagi, Japan","38.268215,140.8693558",,3
Kumi Otoshi,1985-07-29,26,Athletics,Women's 20 kilometres Walk,Japan,,Female,Kumi Otoshi,161,46,"Kita, Tokyo, Japan","35.7528042,139.7334805",,37
Otryadyn G√É¬ºndegmaa,1978-05-23,34,Shooting,"Women's Air Pistol, 10 metres",Mongolia,,Female,Otryadyn G√É¬ºndegmaa,168,59,"Ulaanbaatar, Ulaanbaatar, Mongolia","47.92,106.92",,18
Otryadyn G√É¬ºndegmaa,1978-05-23,34,Shooting,"Women's Sporting Pistol, 25 metres",Mongolia,,Female,Otryadyn G√É¬ºndegmaa,168,59,"Ulaanbaatar, Ulaanbaatar, Mongolia","47.92,106.92",,27
Yuki Otsu,1990-03-24,22,Football,Men's Football,Japan,,Male,Yuki Otsu,180,73,"Mito, Ibaraki, Japan","36.3658556,140.4712215",,4
Miyu Otsuka,1994-07-19,18,Swimming,Women's 200 metres Backstroke,Japan,,Female,Miyu Otsuka,162,52,"Tokyo, Tokyo, Japan","35.6894875,139.6917064",,21
Miyu Otsuka,1994-07-19,18,Swimming,Women's 400 metres Individual Medley,Japan,,Female,Miyu Otsuka,162,52,"Tokyo, Tokyo, Japan","35.6894875,139.6917064",,12
Shiho Otsuka,1989-10-16,22,Hockey,Women's Hockey,Japan,,Female,Shiho Otsuka,158,52,"Nita, Shimane, Japan","35.187,133.059",,9
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Individual All-Around,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,22
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Team All-Around,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,11 r1/2
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Floor Exercise,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,43 r1/2
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Parallel Bars,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,44 r1/2
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Horizontal Bar,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,39 r1/2
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Rings,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,24T  r1/2
Paolo Ottavi,1986-01-07,26,Gymnastics,Men's Pommelled Horse,Italy,,Male,Paolo Ottavi,170,,"Ascoli Piceno, Ascoli Piceno, Italy","42.8536043,13.5749442",,39 r1/2
Katharina Otte,1987-05-29,25,Hockey,Women's Hockey,Germany,,Female,Katharina Otte,170,63,"Hamburg, Hamburg, Germany","53.5510846,9.9936818",,7
Tarren Otte,1984-03-29,28,Synchronized Swimming,Women's Team,Australia,,Female,Tarren Otte,170,58,"Box Hill, Victoria, Australia","-37.8190302,145.1235432",,8
Jeanette Ottesen Gray,1987-12-30,24,Swimming,Women's 50 metres Freestyle,Denmark,,Female,Jeanette Ottesen Gray,178,70,"Kongens Lyngby, Lyngby-Taarb√É¬¶k, Hovedst",,,12
Jeanette Ottesen Gray,1987-12-30,24,Swimming,Women's 100 metres Freestyle,Denmark,,Female,Jeanette Ottesen Gray,178,70,"Kongens Lyngby, Lyngby-Taarb√É¬¶k, Hovedst",,,7
Jeanette Ottesen Gray,1987-12-30,24,Swimming,Women's 4 x 100 metres Freestyle Relay,Denmark,,Female,Jeanette Ottesen Gray,178,70,"Kongens Lyngby, Lyngby-Taarb√É¬¶k, Hovedst",,,6
Jeanette Ottesen Gray,1987-12-30,24,Swimming,Women's 100 metres Butterfly,Denmark,,Female,Jeanette Ottesen Gray,178,70,"Kongens Lyngby, Lyngby-Taarb√É¬¶k, Hovedst",,,6
Jeanette Ottesen Gray,1987-12-30,24,Swimming,Women's 4 x 100 metres Medley Relay,Denmark,,Female,Jeanette Ottesen Gray,178,70,"Kongens Lyngby, Lyngby-Taarb√É¬¶k, Hovedst",,,7
Bj√É¬∂rn Otto,1977-10-16,34,Athletics,Men's Pole Vault,Germany,Silver,Male,Bj√É¬∂rn Otto,191,90,"Frechen, Nordrhein-Westfalen, Germany","50.9122488,6.8159957",,2
Idara Otu,1987-07-05,25,Athletics,Women's 4 x 400 metres Relay,Nigeria,,Female,Idara Otu,,,"Atlanta, Georgia, United States","33.7489954,-84.3879824",,AC r2/2
Mohamed Ouadahi,1987-07-08,25,Boxing,Men's Bantamweight,Algeria,,Male,Mohamed Amin Ouadahi,168,,"A√É¬Øn Defla, A√É¬Øn Defla, Algeria","36.2652,1.9703",,5T
Nordine Oubaali,1986-08-04,25,Boxing,Men's Flyweight,France,,Male,Nordine Oubaali,163,52,"Lens, Pas-de-Calais, France","50.42893,2.83183",,5T
